"","name","Sex","Nation","sleeptime","steps","height","weight","IMC","Age"
"1","I_9382","M","FR",9.36221800503455,12830.723360834,165.620608122491,67.5769535134636,24.6359809300212,28.0282265725071
"2","U_7391","V","SP",7.98369760200751,9084.13698508589,167.435425910465,71.2962498266965,25.4315004527721,24.031093248218
"3","O_8069","V","SP",7.15171953858594,9023.94018651505,176.946919766225,75.8123378319526,24.2132939974007,21.8952043892877
"4","L_9684","M","SP",19.8265554978605,10558.4563393634,173.360034505765,72.1756805957175,24.0155710744656,34.5542417452003
"5","T_5277","M","IT",13.7685673214486,13231.7281640602,150.277956026245,59.4095721106584,26.3066693104666,24.5000006865899
"6","S_6533","M","IT",10.7645020389225,12977.364355241,162.234593704264,66.3553126283787,25.2109243181108,25.7671088229987
"7","R_4779","M","SP",5.11513676829663,10657.5771125589,173.419836827334,71.8046262968956,23.8756321853198,26.8901517991766
"8","E_998","M","GB",6.73278083892794,13087.9417454488,155.228395813942,62.8840619035156,26.0974604348718,26.247795998915
"9","Q_6556","M","IT",18.1886485581238,12844.2055871263,166.414569623867,68.037307373402,24.5676957672848,26.3541106626579
"10","P_4517","V","GE",13.5985158438047,10935.9150782965,163.186495310796,69.439261640081,26.0757412902345,23.5837125085706
"11","J_7649","V","IT",12.0036258676464,11182.6072595874,180.750875563582,78.2579901683949,23.9534388186098,32.2939262915837
"12","W_2150","M","FR",9.82661399805394,12488.0746882069,171.015871061202,70.5051200765065,24.1072583986235,22.3441268908494
"13","M_9521","M","IT",11.2987435263659,12933.5660703012,163.748862082331,67.224088244757,25.0708084798445,25.7393357605975
"14","A_1651","M","IT",20.505015214841,12657.0623082856,150.3237276218,59.899469952432,26.5074472753436,32.0041625361072
"15","K_5815","M","IT",19.2064328328102,13028.8559915949,166.412394548027,68.0931940523808,24.5885187247272,22.9055470613953
"16","B_117","M","FR",14.0857036524686,12790.4615823132,168.122672517539,68.2819397559465,24.1575718555243,21.4071587972661
"17","G_5315","M","IR",7.65886234767543,12974.5890770016,160.500709921808,64.9337572679114,25.2067362867915,29.2880315678896
"18","F_8978","M","FR",11.8823272336146,12779.4590040028,165.118955276098,67.6242996669854,24.8032685915812,33.9694660490248
"19","H_6596","V","GB",14.2627760526128,10710.5894197019,182.507375683412,79.3816278120467,23.8319269900023,27.4255832346262
"20","V_7328","M","SP",6.0319195551144,10546.6565384583,158.655723922514,64.1872985831041,25.4998489621549,23.4389356135335
"21","C_9323","M","FR",19.7883734334675,12757.2510438294,160.680625072609,65.0348041796353,25.1894573582035,25.7272367310236
"22","N_3940","V","GE",9.49789071414501,10806.801761918,166.803469730413,70.1643986292246,25.2177681009861,17.342474405912
"23","D_1558","M","FR",12.3849489159831,13251.1954766412,163.400183130175,66.8894916366354,25.052600756117,31.4847158393564
"24","I_1792","V","GB",6.57935495810239,11233.6090184516,176.071246944924,75.4620147858626,24.3417342387319,18.9638818350421
"25","U_227","M","SP",18.9160441822205,10897.9254017978,171.195975319574,70.8244977118837,24.1655343144027,30.9949164983973
"26","O_1482","V","SP",5.72169758762369,8786.87321482393,182.784056878674,79.187025338155,23.7015858132735,20.4893935916126
"27","L_1182","V","IT",4.1719479793969,10828.6252638171,171.501152418925,72.8576139335772,24.7708471092853,24.1989971713086
"28","T_1151","V","GE",4.38470188210444,11030.6222825308,162.229851120727,68.5333302789648,26.0399590533611,25.9764608899837
"29","S_6247","V","PT",9.66694491829801,10498.8490043435,171.537111383797,73.6140805293695,25.0175460012566,21.0789552231197
"30","R_8039","V","SP",10.1204399533858,9234.41947279922,174.318715955674,75.4695728142155,24.8361260488216,23.5306748930155
"31","E_4715","M","IT",10.4769387450434,13361.2740375121,170.562762771814,69.9959581228868,24.0604928149049,23.6529027926535
"32","Q_6441","M","BE",8.86795473859016,13296.6296110934,174.048280764044,72.0371447718587,23.7802828302269,29.3973170136768
"33","P_9222","V","FR",6.47353182952699,10815.1856432693,163.372206014635,69.2746267113588,25.9548096122389,25.7805725134149
"34","J_8814","M","SP",4.34134320718827,11150.6861106633,167.141165458369,67.9730059002123,24.3315414636885,21.7164376642869
"35","W_3232","V","GB",8.20298154093072,10707.1234056498,180.039525986814,77.9365872345765,24.0439415122334,23.3645060660019
"36","M_5305","M","IT",11.5417315822289,12979.183703833,159.707047521551,64.1654913212381,25.1566821170747,27.1690153376554
"37","A_8587","M","SP",11.9002970616391,10945.0127580289,159.907722381957,64.208142723737,25.1102613380084,26.3013130388311
"38","K_9016","M","SP",17.4454149117449,10504.0985417666,157.359927064407,63.7469031773543,25.7436901935091,30.1698116596896
"39","B_4635","M","FR",11.7541660689171,12560.8464502645,165.518104339734,67.9640938268945,24.8078154963575,23.2773178138938
"40","G_3276","M","GE",11.1847237671509,13204.9374856389,165.094657088477,67.2017188135091,24.655530078752,28.5522207974153
"41","F_9941","V","SP",13.4678967250663,8600.90668250251,174.380076233301,74.621264255907,24.5396789353724,20.7269053073273
"42","H_6427","M","PT",20.1436914443623,12897.8312400863,156.977079227334,63.7132148684416,25.8557435213304,27.5059547944119
"43","V_2161","V","IT",11.2690051457396,10878.8272898019,166.195276709116,70.5718160238183,25.5501785507648,19.4413553382272
"44","C_2520","V","SP",10.1547785430643,9350.98196539567,178.791245861545,77.1496089256541,24.1346623676455,25.8781284650006
"45","N_2057","V","PT",18.6306657321848,10972.4855139678,167.774405648154,71.9074713016514,25.5459818142048,29.2594594426592
"46","D_6003","M","PT",15.05250093169,12978.7542818461,161.512536878217,65.6200823463004,25.1549983826339,30.5056971032357
"47","I_6779","M","SP",15.9693973307047,10718.5486644656,165.960333622574,68.2159829261405,24.7672360248481,32.3537151954237
"48","U_3982","M","GB",5.46200216586941,12872.8492131184,175.274310355482,72.9024293806575,23.7304223014244,23.9032312687248
"49","O_9413","M","IT",8.28079197119452,12911.585579793,161.987156728059,66.0441918161593,25.1694349020176,26.4059183649593
"50","L_9279","M","IT",7.60851321681313,13029.8823833954,162.553629921888,65.9276438387179,24.9502103226013,26.8953491777455
"51","T_3887","V","BE",10.7430688585951,10836.8596363381,178.505599470943,76.886383540655,24.1293568344109,21.6333285271179
"52","S_2267","M","GB",4.95550680738441,13037.1846504313,157.958322136333,63.5828885428893,25.4832743594229,24.7234125905163
"53","R_2493","V","FR",3.36664593948906,10998.0508661652,174.819717991115,75.0605775721653,24.5601531850274,24.0900330837564
"54","E_3471","V","IT",9.39557090591828,10780.6288944293,192.662988431897,84.3553476640592,22.7256354027403,24.2438383365004
"55","Q_8090","V","SP",8.45072038402241,8869.73180021448,159.925121469906,67.1812127062202,26.2672411154915,22.0687950723834
"56","P_636","V","GE",8.94145005645749,10825.4541752088,180.069889436652,77.901025463844,24.024866262822,25.8912398841206
"57","J_7443","M","FR",11.2100922255331,12790.3871577009,165.650714413522,67.3951821781816,24.5607839670544,25.2693232781152
"58","W_9618","M","PT",8.18753530661225,13082.8474485163,171.549161552492,70.8198953694307,24.0645686355369,29.2778797819406
"59","M_6798","V","PT",11.633163789518,10988.8679629576,182.777074303064,79.8343009082352,23.8971485886495,29.2060417774113
"60","A_3401","M","GB",7.38170618575887,13014.1795885892,159.334988107804,64.2820238226867,25.320206125699,26.5356636605655
"61","K_6234","M","FR",5.21949195358851,13306.9565230133,162.908482815821,66.0614445928825,24.8920502036176,28.7265938311252
"62","B_3556","V","FR",4.7885561530754,11146.6988646444,189.185935211587,83.4008731811555,23.3019842941666,25.228895529888
"63","G_4297","V","FR",4.96218213811364,10723.1296872832,176.394017748408,76.2708582247322,24.5126874970238,25.0373523739155
"64","F_8830","M","GB",12.7321261592165,12575.9480022178,169.056293492343,69.7279947589958,24.3974529970153,26.8004806272553
"65","H_2877","M","GB",8.68378317606735,12353.8914076544,159.16310714507,64.7012610774861,25.5404137208987,30.8855626254441
"66","V_9457","V","SP",11.5679293981901,8593.60865319921,172.371789832582,73.96877958021,24.8952258718666,23.2392827694324
"67","C_4720","V","IT",9.77697359684414,10995.2339590924,181.870932892005,78.1759814948542,23.6345182043751,18.8454498180686
"68","N_1274","M","PT",17.5243613582111,12951.1115652593,172.483471734025,71.1803038608568,23.92571182541,22.2017912201816
"69","D_5308","M","FR",12.6037903308764,12960.3335162429,158.115838082976,63.6139691304076,25.4449583956123,22.8233498841402
"70","I_2817","V","BE",2.99301105892482,11056.566688552,184.126640226639,80.1819115576992,23.6506536681833,25.8433999398901
"71","U_2952","M","PT",5.7845164578197,13191.9245340126,173.926252539922,72.1258795481076,23.8429969364571,28.4702533040364
"72","O_4021","M","GE",10.4941920748024,12807.6241847563,159.569925175015,64.6319806272599,25.383142165307,31.5240275831632
